id,sentence,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
572,La fête est arrivée au 19e siècle aux États-Unis et au Canada grâce aux nombreux émigrants venus d'Irlande et d'Écosse,68.94,3,10.56,4278.3585,150.845,32236.5,0.03,45.487500000000004,3737.75,4857.8615,175.54500000000002,23633.92,0.54,53.2425,5322.5,3491.5159999999987,70.145,19417.69,0.03,29.240000000000002,3737.75,4.0,3.5,9.0,1.0,2.0,5.25,1.5,1.0,3.0,1.0,1.0,2.0
573,"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus",109.8,0,2.38,6649.715625000001,2258.93,25983.2,21.89,295.1775,8952.7925,6685.033125,1349.56,38928.92,10.54,250.065,9906.67,5489.555625000001,758.21,25983.2,18.52,130.52499999999998,6244.2225,3.4375,3.0,6.0,2.0,2.0,4.25,1.1875,1.0,2.0,1.0,1.0,1.0
574,Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été,66.66,3,13.04,7382.357142857143,1412.995,32236.5,2.44,79.6575,10835.3525,7085.820000000001,1963.41,38928.92,1.49,86.235,11674.627499999999,4256.730714285714,770.565,25220.86,0.22,77.17999999999999,5927.83,5.357142857142857,4.0,13.0,1.0,3.0,7.75,1.8571428571428572,1.0,5.0,1.0,1.0,2.75
575,L'histoire se passe en Asie.,113.61,0,3.8,2519.3,2154.63,5689.68,78.26,1141.1825,3532.7475,4122.3825,3876.5200000000004,8732.57,3.92,874.9325,7123.97,2276.3225,1668.675,5689.68,78.26,412.25,3532.7475,2.5,2.0,5.0,1.0,1.75,2.75,1.0,1.0,1.0,1.0,1.0,1.0
576,"A l'époque actuelle, le désir réside dans la consommation d'objets de plus en plus sophistiqués et qui reflètent la nouveauté",61.58,3,12.59,6221.987,4062.45,25220.86,3.57,12.5375,13095.0,8668.176,5014.53,38928.92,2.23,9.425,14178.345,5601.418999999998,4062.45,25220.86,0.53,6.7275,7990.452499999999,4.55,3.5,12.0,1.0,2.0,6.5,1.6,1.0,4.0,1.0,1.0,2.0
577,"C'est devenu un rituel, désormais en vigueur dans de nombreuses familles, encore qu'en France le phénomène portable n'ait pas remporté auprès des adolescents le même succès que dans les pays scandinaves.",57.78,6,14.57,4002.182,293.745,25220.86,0.39,13.594999999999999,5431.9075,5206.6449999999995,257.97,38928.92,0.61,14.1925,8623.4475,3951.3630000000007,66.0,25220.86,0.1,10.754999999999999,5431.9075,5.1,4.0,11.0,1.0,2.25,7.75,1.7333333333333334,1.5,4.0,1.0,1.0,2.0
578,"Excusez-moi, ça fait 30 minutes qu'on attend notre table.",80.11,1,9.94,2742.1255555555554,1022.94,8933.66,22.07,342.28,3675.68,1301.7955555555554,680.68,5328.99,1.55,201.42,1877.57,1902.148888888889,230.25,8933.66,22.07,173.86,2751.99,4.555555555555555,5.0,7.0,2.0,3.0,6.0,1.4444444444444444,1.0,3.0,1.0,1.0,2.0
579,"Et puis, on revient en Europe maintenant avec la vague de chaleur qui touche le continent et qui n'épargne aucune partie de cette partie du monde même celle située la plus au nord en Scandinavie y compris, le thermomètre grimpe en flèche",61.33,3,10.29,4949.8412499999995,1465.565,25220.86,1.43,178.7125,5689.68,7076.08425,1839.665,38928.92,5.27,186.385,8732.57,4903.86625,1465.565,25220.86,1.37,84.725,5689.68,4.225,4.0,11.0,1.0,2.0,6.0,1.35,1.0,3.0,1.0,1.0,2.0
580,Notre jogging matinal est devenu une course d'obstacles où on évite tous les autres passants,81.38,2,11.88,4300.916666666667,438.57,32236.5,2.21,63.58,5428.3,3416.144,533.51,15085.47,1.28,56.894999999999996,4004.865,3237.774666666666,249.7,19417.69,1.82,25.575000000000003,4727.145,4.533333333333333,5.0,8.0,1.0,3.0,6.0,1.4666666666666666,1.0,3.0,1.0,1.0,2.0
581,"Mais devenir l'ami d'une fille super, c'est difficile !",66.4,2,10.8,863.2175,152.705,5179.05,8.21,72.36500000000001,539.3175,715.7850000000001,62.6,4463.72,2.97,4.5275,548.19,793.3249999999999,121.99000000000001,5179.05,8.21,72.36500000000001,273.02,4.125,4.5,9.0,1.0,1.0,5.5,1.625,1.0,3.0,1.0,1.0,2.25
582,"C'est un truisme de dire qu'une économie fonctionnant bien, hautement rationalisée et unifiée, exige un étalon d'échange stable.",63.61,4,16.24,4037.065555555555,28.515,25220.86,0.01,6.702500000000001,5513.0575,5245.090555555555,14.595,38928.92,0.2,3.3600000000000003,4258.16,3789.755555555555,14.065,25220.86,0.01,4.905,3551.4649999999997,5.111111111111111,4.5,12.0,1.0,2.0,7.0,1.8888888888888888,1.0,5.0,1.0,1.0,3.0
583,Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,105.49,0,4.57,11010.164615384616,12909.08,25983.2,9.67,429.4,18188.15,9208.452307692309,8795.14,38928.92,11.08,283.11,10862.77,10895.618461538463,12909.08,25983.2,9.67,388.87,18188.15,3.4615384615384617,2.0,8.0,1.0,2.0,5.0,1.2307692307692308,1.0,2.0,1.0,1.0,1.0
584,"Les bateaux étaient serrés les uns contre les autres, et s'ils n'avaient pas été équipés de défenses, ni le leur ni ceux des voisins ne seraient restés intacts.",82.9,0,9.52,7149.838928571428,377.64,32236.5,6.27,54.7475,9767.555,7014.9007142857145,662.36,38928.92,9.46,82.225,14662.3,4239.825714285714,263.615,25220.86,0.93,14.49,8720.38,4.214285714285714,3.0,8.0,1.0,2.0,6.25,1.3928571428571428,1.0,3.0,1.0,1.0,2.0
585,Elle ne doit pas dégoûter les élèves.,104.22,1,4.94,8143.527142857142,4520.53,22287.83,18.39,1634.7050000000002,13454.265,6526.334285714284,6991.49,14662.3,17.57,687.975,11318.515,6494.657142857143,4520.53,18188.15,0.66,337.925,11038.705,4.285714285714286,4.0,8.0,2.0,3.0,5.0,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
586,"On pensait qu'il était l'espion du marquis son père, et il fallait ménager ce despote sévère et toujours furieux depuis sa démission forcée.",65.9,2,11.78,4274.598695652174,1072.36,32236.5,1.01,23.689999999999998,4806.9,4368.183913043477,869.8,20879.73,0.74,26.689999999999998,4767.264999999999,2841.3769565217385,483.95,13222.93,0.85,16.52,3375.675,4.608695652173913,5.0,9.0,1.0,2.0,7.0,1.608695652173913,2.0,3.0,1.0,1.0,2.0
587,L'interdiction de la cigarette électronique serait désastreuse pour ces entreprises.,34.93,5,23.58,8088.625,650.385,32236.5,2.46,37.662499999999994,12979.4975,8556.121,831.215,38928.92,3.51,14.445,12863.662499999999,4890.874000000001,194.815,25220.86,0.92,13.9825,5614.54,6.1,5.0,12.0,1.0,2.25,10.5,2.0,1.5,4.0,1.0,1.0,3.0
588,"Quand on m'a proposé de jouer dans ce film, j'ai répondu oui tout de suite, j'ai dit que j'avais attendu cette occasion toute ma vie.",78.59,4,6.68,3854.4948,1351.46,25220.86,61.89,251.57,4100.9,4639.1251999999995,853.31,38928.92,2.91,119.66,3171.35,3490.3088000000002,986.59,25220.86,16.86,64.31,3207.35,3.68,3.0,8.0,1.0,2.0,5.0,1.32,1.0,3.0,1.0,1.0,1.0
589,Je répare votre voiture.,92.54,0,5.8,7093.597500000001,1161.745,25983.2,67.7,338.97499999999997,7916.3675,2899.7325,355.51,10862.77,25.14,218.6175,3036.625,7068.3625,1141.48,25983.2,7.29,293.475,7916.3675,5.0,5.5,7.0,2.0,4.25,6.25,1.5,1.5,2.0,1.0,1.0,2.0
590,"OK, pas de problème.",107.26,0,-1.46,11016.395,9354.11,25220.86,136.5,424.1775,19946.3275,11955.07,4445.07,38928.92,1.22,71.555,16328.585,10984.1775,9289.675000000001,25220.86,136.5,327.525,19946.3275,3.75,2.5,8.0,2.0,2.0,4.25,1.5,1.5,2.0,1.0,1.0,2.0
591,Ta soeur est venue hier nous rendre visite.,103.2,0,5.76,5256.99125,887.39,32236.5,99.95,214.07500000000002,3265.895,2692.57625,359.9,15085.47,92.64,145.58749999999998,2102.8575,3269.4449999999997,189.495,19417.69,86.34,129.2675,2142.5074999999997,4.375,4.5,6.0,2.0,3.75,5.25,1.25,1.0,2.0,1.0,1.0,1.25
592,James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône,97.37,0,7.02,8334.873333333333,3736.1800000000003,25220.86,0.27,104.715,14623.05,11702.564444444442,7441.925,38928.92,0.27,143.3975,18310.95,7607.628333333333,3736.1800000000003,25220.86,0.27,46.4175,13652.76,4.055555555555555,2.0,10.0,1.0,2.0,6.75,1.3333333333333333,1.0,3.0,1.0,1.0,1.75
593,"Il fait trop chaud, j'ouvre la fenêtre.",118.94,0,4.94,5440.2071428571435,859.54,14946.48,64.31,87.35499999999999,11018.205,6568.774285714286,790.0,23633.92,2.91,196.755,10580.54,4566.521428571429,859.54,14946.48,50.2,67.255,7987.46,3.5714285714285716,4.0,7.0,1.0,2.0,4.5,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
594,Le premier part à sept heures vingt cinq et le deuxième part à neuf heures et demie,108.79,0,5.28,4724.235294117647,376.98,13652.76,29.47,66.07,12190.4,7095.735294117646,672.57,20879.73,43.51,154.59,18310.95,4657.900000000001,294.39,13652.76,12.98,66.07,12190.4,3.9411764705882355,4.0,8.0,1.0,2.0,5.0,1.1764705882352942,1.0,2.0,1.0,1.0,1.0
595,Le sénateur élu à la représentation proportionnelle dont le siège devient vacant pour toute autre cause que l'acceptation de fonctions gouvernementales est remplacé par le candidat figurant sur la même liste immédiatement après le dernier candidat devenu sénateur conformément à l'ordre de cette liste.,22.5,13,17.36,4920.058636363636,434.825,32236.5,0.86,21.405,8356.5125,6408.750454545455,533.51,38928.92,1.08,17.619999999999997,8420.0475,4525.7297727272735,176.04,25220.86,0.31,13.545,8356.5125,5.454545454545454,5.0,16.0,1.0,2.0,8.0,1.8636363636363635,1.0,5.0,1.0,1.0,3.0
596,Dommage ces fils et ces poteaux qui balafrent le décor,93.81,0,7.34,3508.2839999999997,851.3299999999999,13652.76,0.17,22.6825,4443.0175,5054.291,897.5699999999999,20879.73,1.55,31.015,6329.305,3489.871,851.3299999999999,13652.76,0.0,19.365000000000002,4314.362499999999,4.5,3.5,9.0,2.0,3.0,6.5,1.4,1.0,2.0,1.0,1.0,2.0
597,La journée est longue pour David qui attend le samedi toute la semaine,83.41,1,7.7,7769.984166666668,4232.635,32236.5,46.53,259.14250000000004,13976.19,8281.046666666665,4684.795,23633.92,28.99,383.02,15891.84,6362.345,2893.3849999999998,19417.69,44.51,145.6225,13976.19,3.9166666666666665,3.5,7.0,1.0,2.0,6.0,1.3333333333333333,1.0,3.0,1.0,1.0,1.25
598,La plupart des spectateurs ont apprécié la pièce de théâtre.,86.45,2,10.24,8000.698000000001,3103.405,25220.86,0.01,50.42,14946.48,11003.291,5450.64,38928.92,0.07,50.135,20925.642499999998,6239.883,586.99,25220.86,0.01,17.1175,12723.787499999999,5.0,4.0,11.0,2.0,2.25,7.0,1.6,1.0,3.0,1.0,1.0,2.0
599,"""Les femmes sont en revanche surreprésentées en danse (62% de tous les pratiquants) et encore davantage en gymnastique (79%)"", note l'Insee.",67.93,4,12.82,6127.222222222223,2062.8450000000003,32236.5,0.22,54.1275,7962.705,7579.388333333332,2375.2,38928.92,0.34,50.5725,13179.8675,4256.865000000001,1043.665,25220.86,0.09,36.795,5689.68,4.722222222222222,4.0,11.0,1.0,2.0,6.0,1.4444444444444444,1.0,3.0,1.0,1.0,1.75
600,Les exportations de cacao ont doublé par rapport à l'année dernière.,70.72,1,11.06,6100.97909090909,431.08,25220.86,0.88,46.775000000000006,10455.39,8172.033636363636,403.11,38928.92,1.42,13.379999999999999,13731.555,4488.250000000001,224.41,25220.86,0.11,40.695,5236.7,4.636363636363637,3.0,12.0,1.0,2.5,6.5,1.7272727272727273,1.0,4.0,1.0,1.0,2.0
601,"Alors, je les ai remises et j'ai vu son sourire.",108.53,0,2.12,7405.476999999999,2948.54,25983.2,36.08,543.85,11861.904999999999,6775.805,3548.955,20879.73,2.91,419.95,12316.3,5703.659000000001,1759.04,25983.2,0.44,274.535,7765.8099999999995,3.4,2.5,7.0,1.0,2.0,4.5,1.3,1.0,2.0,1.0,1.0,1.75
602,"David, lui, va à l'école le mercredi matin.",81.12,1,3.55,5502.774285714287,2308.74,13652.76,21.48,176.635,11091.585,6430.484285714286,2854.93,19209.05,3.92,204.7,11268.045,4556.874285714285,2308.74,13652.76,20.38,171.64499999999998,7786.475,3.142857142857143,2.0,8.0,1.0,1.5,4.0,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
603,J'attends ta réponse,78.84,0,7.32,475.78,97.06,1265.97,64.31,80.685,681.515,118.17666666666666,99.93,251.69,2.91,51.42,175.81,469.8233333333333,79.19,1265.97,64.31,71.75,672.58,3.3333333333333335,2.0,7.0,1.0,1.5,4.5,1.3333333333333333,1.0,2.0,1.0,1.0,1.5
604,"D'autres fois, lassé moi-même de mon silence, je me laissais aller à quelques plaisanteries, et mon esprit, mis en mouvement, m'entraînait audelà de toute mesure.",63.87,4,12.94,5657.0568,1334.1,25983.2,7.43,106.43,5689.68,6416.748,1358.65,38928.92,2.97,216.28,4264.32,5102.8536,816.76,25983.2,1.78,69.91,4929.44,4.28,3.0,13.0,1.0,2.0,6.0,1.44,1.0,4.0,1.0,1.0,2.0
605,"En faisant le choix de manger un fromage AOP, on fait plus que manger du fromage : on goûte aussi son terroir, on participe au maintien des paysages et des traditions du fromage concerné.",63.11,2,9.7,4693.20875,3900.1,25220.86,0.17,40.0925,8586.4,5663.533125,4767.264999999999,38928.92,1.82,47.87,6882.16,4184.6284375000005,2246.21,25220.86,0.17,25.68,6055.71,4.59375,4.0,10.0,2.0,2.0,7.0,1.53125,1.0,3.0,1.0,1.0,2.0
606,"Oui, ça va, merci.",107.26,0,-5.81,5628.29,6070.505,9992.77,379.38,2500.3575,9198.4375,1505.9125,1557.605,2854.93,53.51,491.55500000000006,2571.9624999999996,3975.5000000000005,3294.95,8933.66,378.44,2500.1225,4770.3275,3.0,2.5,5.0,2.0,2.0,3.5,1.25,1.0,2.0,1.0,1.0,1.25
607,"Tout le monde la regardait, parce que dans la classe on est ensemble depuis l'école primaire, alors, évidemment, l'arrivée d'un nouveau ou d'une nouvelle, c'est un événement.",69.2,4,12.42,4194.105185185185,483.95,32236.5,3.49,66.47,4379.745,4406.174074074074,542.64,23633.92,0.95,45.065000000000005,4077.165,3639.9111111111115,253.47,19417.69,3.49,54.68,3994.735,4.333333333333333,4.0,10.0,1.0,2.0,6.5,1.5185185185185186,1.0,4.0,1.0,1.0,2.0
608,"Parfait, alors un plat du jour, s'il vous plaît.",116.91,0,4.14,3738.457777777778,1061.92,13589.7,30.24,58.77,4394.7,2952.7411111111114,1033.78,13550.68,14.53,61.35,3507.16,3675.6177777777784,635.22,13589.7,21.87,38.31,4394.7,3.7777777777777777,4.0,7.0,1.0,2.0,5.0,1.2222222222222223,1.0,2.0,1.0,1.0,1.0
609,On ne peut pas vivre comme ça.,126.3,0,-0.87,9479.540000000003,8586.4,22287.83,510.19,3925.275,13560.905,5214.644285714286,3429.32,13841.89,460.34,2568.7200000000003,6816.76,7545.639999999999,8586.4,18188.15,218.52,1767.8600000000001,11145.345000000001,3.2857142857142856,3.0,5.0,2.0,2.0,4.5,1.0,1.0,1.0,1.0,1.0,1.0
610,"Si vous étiez arrivés à l'heure comme convenu, vous auriez vu le début du reportage auto-biographique sur l'auteur contemporain le plus convoité du moment.",57.52,4,13.7,5707.7155999999995,2326.08,32236.5,0.18,78.26,12190.4,4931.7048,2401.76,19209.05,0.88,42.36,6882.16,3502.0688,403.25,13652.76,0.14,32.78,4394.7,4.64,4.0,12.0,1.0,2.0,6.0,1.72,1.0,4.0,1.0,1.0,2.0
611,Mais le rocher était fermé.,98.89,0,3.8,10264.786,5179.05,32236.5,16.97,238.65,13652.76,7619.366,4463.72,18310.95,39.53,197.16,15085.47,4246.712,2356.65,13652.76,10.37,34.73,5179.05,4.4,5.0,6.0,2.0,4.0,5.0,1.6,2.0,2.0,1.0,1.0,2.0
612,"Ashton lui lançait en notes graves des provocations homicides, Lucie poussait sa plainte aiguë, Arthur modulait à l'écart des sons moyens, et la basse-taille du ministre ronflait comme un orgue, tandis que les voix de femmes, répétant ses paroles, reprenaient en choeur, délicieusement.",38.24,7,15.16,3176.7037499999997,126.265,25220.86,0.2,42.730000000000004,4718.445,4946.97825,244.53,38928.92,0.88,58.9025,7344.7625,3115.9249999999997,39.71,25220.86,0.0,2.9975,4718.445,5.15,5.0,14.0,1.0,2.75,7.0,1.55,1.0,5.0,1.0,1.0,2.0
613,Un vrai débat de société s'est ouvert avec un avantage aux défenseurs du septième jour chômé.,73.0,2,9.97,3798.2343750000005,610.175,25220.86,1.05,21.1475,3877.3424999999997,5076.424375,461.28499999999997,38928.92,1.35,15.49,4720.8475,3739.994375,352.3,25220.86,0.24,14.655,3877.3424999999997,4.5625,4.0,10.0,1.0,2.0,6.25,1.6875,1.5,3.0,1.0,1.0,2.0
614,Il est impératif de tenir votre chien en laisse lorsque vous le promenez.,83.41,2,8.63,8281.283846153847,1894.09,32236.5,0.69,223.53,13589.7,7916.179230769231,851.55,38928.92,3.04,207.09,15085.47,7189.198461538462,1894.09,25220.86,0.37,82.83,13589.7,4.615384615384615,5.0,9.0,2.0,2.0,6.0,1.5384615384615385,1.0,4.0,1.0,1.0,2.0
615,"Aujourd'hui, Madagascar, c'est 700 personnes qui sortent des écoles en informatique.",63.36,3,17.9,2332.8250000000003,590.5,6055.71,4.6,157.2125,5559.81,3533.455,418.68500000000006,10624.93,0.81,109.17500000000001,8125.5725,2154.7225000000003,62.38,6055.71,4.6,9.432500000000001,5431.155,5.375,4.5,12.0,1.0,2.75,7.5,1.625,1.0,4.0,1.0,1.0,2.0
616,"Tout d'un coup, il proteste contre un monsieur bleu.",109.55,0,7.39,3114.3622222222225,471.82,13222.93,10.13,70.61,1058.64,3669.428888888889,591.15,15832.09,2.97,207.64,1639.19,3082.7577777777783,389.49,13222.93,3.06,54.68,1058.64,4.333333333333333,4.0,8.0,1.0,2.0,6.0,1.2222222222222223,1.0,2.0,1.0,1.0,1.0
617,Et une forêt bien aménagée pourra ultérieurement fournir une nouvelle récolte de bois.,61.33,2,14.43,4927.950769230769,191.15,25220.86,0.37,25.67,7907.85,6526.513076923076,299.46,38928.92,2.03,56.28,9587.97,4504.579230769231,115.56,25220.86,0.29,8.43,7907.85,5.615384615384615,5.0,14.0,2.0,3.0,7.0,1.9230769230769231,2.0,5.0,1.0,1.0,2.0
618,"Passez-les dans la farine, puis dans l'oeuf battu et enfin dans la chapelure.",83.41,1,9.03,4843.040714285714,3077.04,14946.48,0.31,214.31,7704.932499999999,7881.472142857143,4730.675,23633.92,0.54,246.8375,13070.744999999999,4727.405714285714,2462.21,14946.48,0.31,59.19500000000001,7704.932499999999,4.071428571428571,4.0,9.0,1.0,2.25,5.0,1.4285714285714286,1.0,3.0,1.0,1.0,2.0
619,"Lorsque nous lûmes ce passage émouvant, nous rappelant les jours heureux passés, nous pleurâmes face à nos existances misérables et sans lendemain.",74.27,3,15.14,2925.9580000000005,764.0350000000001,12909.08,5.21,106.33,4772.12,3807.9594999999995,872.23,20879.73,14.05,199.17249999999999,3867.84,2786.6780000000003,291.25,12909.08,0.01,25.974999999999998,4772.12,5.2,4.5,10.0,1.0,3.75,7.0,1.6,1.0,3.0,1.0,1.0,2.0
620,"Le ""rebâchage"" envoie les données dans la première mémoire, tandis que plusieurs approches différentes d'un même sujet vont permettre de dégager du sens et d'envoyer les don- nées communes au coeur de la mémoire sémantique"", explique-t-il",52.7,5,14.4,4659.528333333333,220.45,25220.86,0.29,60.87,8720.38,6676.383611111112,225.70999999999998,38928.92,0.34,88.01,9887.635,4336.207777777778,112.745,25220.86,0.29,34.339999999999996,5674.0375,4.694444444444445,4.0,11.0,1.0,2.0,7.0,1.4722222222222223,1.0,3.0,1.0,1.0,2.0
621,C'est l'école qui doit le trouver.,105.23,0,4.28,3970.635,2284.03,13652.76,8.21,392.5675,4945.5325,4755.586666666667,1145.3400000000001,18310.95,3.92,246.67249999999999,6271.975,3343.998333333333,489.89,13652.76,8.21,139.93,4172.445,3.0,2.5,7.0,1.0,1.25,3.75,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
622,Miam ! Tu dois avoir hâte de la revoir !,117.92,0,1.41,9600.59375,8947.165,25220.86,2.19,126.8375,15849.665,9925.651249999999,1927.605,38928.92,1.69,115.89500000000001,15509.0875,7061.772500000001,784.465,25220.86,2.19,61.05499999999999,14732.94,3.625,4.0,6.0,2.0,2.0,4.25,1.25,1.0,2.0,1.0,1.0,1.25
623,La cuisine est la pièce préférée de ma maison,94.83,1,4.78,8699.447272727273,2346.9,32236.5,1.59,74.41499999999999,14946.48,9696.32090909091,1667.16,38928.92,4.32,82.19999999999999,19359.695,7530.571818181817,2346.9,25220.86,1.06,72.995,14946.48,2.909090909090909,2.0,7.0,1.0,2.0,3.0,1.1818181818181819,1.0,2.0,1.0,1.0,1.0
624,"L'intensité carbone de la Suisse est certes modérée, grâce à une faible intensité énergétique et à une production d'électricité presque totalement décarbonée.",37.47,8,17.81,6001.195714285714,78.26,32236.5,0.52,14.88,12190.4,7469.644761904762,69.66,38928.92,0.61,10.27,15085.47,5390.222380952381,78.26,25220.86,0.15,14.88,12190.4,4.904761904761905,5.0,11.0,1.0,2.0,7.0,1.6666666666666667,1.0,4.0,1.0,1.0,2.0
625,Je crains que la table ne soit pas encore disponible.,101.17,1,6.18,11916.9,9523.689999999999,32236.5,13.19,383.01250000000005,21262.910000000003,7761.426000000001,6055.545,23633.92,11.96,679.6125,13097.11,7746.327,2253.91,25983.2,8.74,163.4925,14549.1175,4.3,3.5,10.0,2.0,2.25,5.75,1.3,1.0,3.0,1.0,1.0,1.0
626,Je suis vraiment désolé : j'ai oublié d'acheter de la viande en rentrant !,77.06,2,9.38,6363.239999999999,750.54,25983.2,44.43,223.57250000000002,8003.88,7000.985000000001,283.445,38928.92,2.91,36.8575,9265.119999999999,6262.341666666667,581.04,25983.2,9.5,61.9025,8003.88,4.0,3.0,8.0,1.0,2.0,6.0,1.5,1.0,3.0,1.0,1.0,2.0
627,Mon chapeau s'est envolé quand je suis monté sur le voilier.,85.44,1,6.82,4574.983636363637,1827.92,25983.2,1.94,46.61,3184.55,3615.7481818181814,949.12,18310.95,4.86,58.95,3814.2200000000003,4524.525454545455,1819.44,25983.2,1.67,31.015,3184.55,4.090909090909091,4.0,7.0,1.0,2.5,5.5,1.4545454545454546,1.0,3.0,1.0,1.0,2.0
628,"D'autres auteurs ont exploité ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif, sorti à l'automne 2004.",63.61,4,13.05,3831.677333333334,757.68,18559.22,0.22,38.05,4806.9,4670.999333333332,627.57,20879.73,1.55,23.65,5155.74,2609.092,81.08,12909.08,0.22,27.5,3360.39,4.466666666666667,3.0,10.0,1.0,2.0,7.0,1.6,1.0,3.0,1.0,1.0,2.0
629,Elle a dansé toute la nuit.,112.59,0,-0.54,6949.813333333333,3734.64,18559.22,137.36,1177.0925,12339.9925,7904.73,5081.42,23633.92,92.57,1346.5175,11348.48,4470.535000000001,2539.045,14946.48,5.94,470.7325,5893.315,3.5,4.0,5.0,1.0,2.5,4.75,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
630,"Ça oui, j'attends les vacances d'été avec impatience !",81.12,1,10.8,3095.095,1637.625,8933.66,7.59,61.9025,4958.7625,2737.5187499999997,360.07000000000005,14662.3,2.91,26.0775,2858.3325,3095.0575,1637.475,8933.66,7.59,61.9025,4958.7625,4.0,3.0,10.0,1.0,1.75,5.0,1.5,1.0,3.0,1.0,1.0,2.0
631,N'avait-elle pas promis que les politiques économiques menées en Europe apporteraient la prospérité et le plein-emploi ?,36.2,6,18.67,4913.047058823529,209.91,18188.15,3.09,38.09,8720.38,6248.701764705882,370.41,23633.92,5.14,70.81,8795.14,4835.317647058824,104.57,18188.15,0.14,9.67,8720.38,5.235294117647059,4.0,13.0,1.0,2.0,6.0,1.8235294117647058,1.0,4.0,1.0,1.0,2.0
632,Ils travaillent avec un nouveau directeur dont ils se plaignent beacoup.,85.44,1,13.73,2581.525,1646.63,12087.62,61.25,225.05,3075.07,3131.968,1884.9350000000002,13550.68,38.45,225.1325,3702.69,2516.098,1516.49,12087.62,2.71,69.8575,3075.07,5.4,4.0,11.0,2.0,3.0,8.5,1.5,1.0,3.0,1.0,1.0,2.0
633,Donne-moi la serviette !,56.76,1,11.15,4964.3675,2442.675,14946.48,25.64,913.6625000000001,6493.379999999999,6610.6425,1386.79,23633.92,35.07,680.775,7316.657499999999,4760.095,2038.37,14946.48,17.16,305.08500000000004,6493.379999999999,4.75,4.0,9.0,2.0,2.75,6.0,1.25,1.0,2.0,1.0,1.0,1.25
634,La contrainte deviatorique est appliquee a des temps variant de 0 a 240 minutes apres la phase de consolidation sous la contrainte de confinement.,72.24,4,12.48,10401.28894736842,6055.71,32236.5,0.2,8.08,18559.22,12713.403157894738,10624.93,38928.92,0.34,9.120000000000001,23633.92,8433.724736842107,6055.71,25220.86,0.03,7.68,14946.48,4.842105263157895,3.0,13.0,1.0,2.0,7.0,1.5789473684210527,1.0,5.0,1.0,1.0,2.0
635,Il fait toujours chaud,107.26,0,4.35,5798.2325,4942.92,13222.93,84.16,825.31,9915.842499999999,5592.0425000000005,3211.3849999999998,15832.09,113.31,848.6624999999999,7954.764999999999,4274.37,1912.1749999999997,13222.93,50.2,816.8199999999999,5369.725,4.75,4.5,8.0,2.0,3.5,5.75,1.25,1.0,2.0,1.0,1.0,1.25
636,"Certains, comme les Bédouins, sont des Blancs à la peau mate et tannée par le soleil.",95.08,0,6.73,6573.758125,2039.55,32236.5,0.1,79.9975,12370.07,8164.538125,3578.205,23633.92,0.54,166.1475,15891.84,4642.745,1601.025,14946.48,0.04,47.55,9587.884999999998,4.1875,4.0,8.0,1.0,2.75,6.0,1.25,1.0,2.0,1.0,1.0,1.25
637,"Selon la légende, Thanksgiving, qui veut dire littéralement en anglais ""merci pour le don"", est née ce jour-là à l'aube du deuxième hiver en Amérique des colons du Mayflower en 1621",65.14,3,10.28,4599.231,3245.615,32236.5,0.34,45.73,5689.68,5113.986000000001,1490.95,23633.92,0.0,54.894999999999996,8530.2375,3850.6313333333333,1132.855,19417.69,0.34,39.0225,5689.68,4.233333333333333,3.0,13.0,1.0,2.0,5.0,1.5,1.0,5.0,1.0,1.0,2.0
638,"Au menu de ce midi, ce sont les restes du repas",100.16,0,0.5,7732.527272727271,4394.7,32236.5,11.15,131.535,6969.74,7920.601818181818,2958.58,38928.92,14.53,122.60000000000001,10772.23,4915.082727272727,3737.75,25220.86,9.87,41.84,5219.1,3.272727272727273,3.0,6.0,2.0,2.0,4.0,1.2727272727272727,1.0,2.0,1.0,1.0,1.5
639,Le choix de l'hôtel dépend bien sûr de votre budget mais aussi de vos envies.,96.1,0,5.73,6938.288666666668,1402.33,25220.86,11.21,163.655,9415.905,9655.60933333333,427.91,38928.92,3.92,115.845,11387.335000000001,6913.939333333333,1402.33,25220.86,3.34,95.805,9415.905,3.7333333333333334,4.0,6.0,1.0,2.0,5.0,1.2666666666666666,1.0,2.0,1.0,1.0,1.5
